Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
CLF,5.74,Call,9.00,08/21/20,42,0.11,0.13,0.15,0.11,1579,3186,0.5,101.26%,07/10/20
TCO,37.44,Put,25.00,09/18/20,70,1.20,1.48,1.75,1.30,655,1162,0.56,101.25%,07/10/20
CCL,16.16,Call,17.00,07/31/20,21,1.14,1.2,1.26,1.22,1067,348,3.07,101.13%,07/10/20
TSLA,1544.65,Call,1450.00,08/21/20,42,247.45,256.25,265.05,255.35,821,438,1.87,100.91%,07/10/20
PENN,29.43,Call,36.00,08/21/20,42,1.71,1.83,1.95,1.91,3041,1234,2.46,100.87%,07/10/20
MGM,16.2,Put,12.00,08/21/20,42,0.47,0.5,0.52,0.49,1842,4546,0.41,100.81%,07/10/20
UAL,32.67,Call,36.00,09/18/20,70,4.30,4.57,4.85,4.50,583,472,1.24,100.71%,07/10/20
DKNG,32.43,Call,65.00,08/21/20,42,0.10,0.13,0.15,0.12,834,6163,0.14,100.57%,07/10/20
ALLY,20.12,Put,3.00,01/21/22,560,0.15,0.27,0.38,0.22,1190,2263,0.53,100.53%,07/10/20
CCL,16.16,Call,27.50,10/16/20,98,0.81,0.91,1.00,0.87,763,9890,0.08,100.51%,07/10/20
M,6.77,Call,9.00,08/21/20,42,0.27,0.31,0.35,0.30,554,7221,0.08,100.49%,07/10/20
TSLA,1544.65,Call,1800.00,09/18/20,70,177.45,181.73,186.00,182.00,821,1027,0.8,100.49%,07/10/20
CWH,30.23,Put,25.00,09/18/20,70,2.55,2.83,3.10,2.60,1150,4570,0.25,100.48%,07/10/20
TSLA,1544.65,Call,1500.00,08/21/20,42,225.55,230.53,235.50,230.00,1898,3097,0.61,100.40%,07/10/20
TSLA,1544.65,Call,1600.00,08/21/20,42,184.05,188.13,192.20,187.00,907,832,1.09,100.39%,07/10/20
M,6.77,Call,13.00,11/20/20,133,0.33,0.36,0.39,0.40,564,572,0.99,100.24%,07/10/20
CLF,5.74,Call,8.00,08/21/20,42,0.18,0.19,0.20,0.20,1792,4454,0.4,100.15%,07/10/20
CCL,16.16,Call,25.00,08/21/20,42,0.31,0.33,0.34,0.32,2203,3407,0.65,100.07%,07/10/20
TSLA,1544.65,Call,1400.00,08/21/20,42,276.90,281.67,286.45,279.76,823,1970,0.42,99.88%,07/10/20
TSLA,1544.65,Call,1700.00,09/18/20,70,205.00,209.95,214.90,210.79,508,2378,0.21,99.72%,07/10/20
CCL,16.16,Call,25.00,10/16/20,98,1.10,1.13,1.15,1.14,1282,13041,0.1,99.62%,07/10/20
DKNG,32.43,Call,60.00,08/21/20,42,0.15,0.18,0.20,0.20,633,3414,0.19,99.45%,07/10/20
TSLA,1544.65,Call,1500.00,09/18/20,70,278.10,282.55,287.00,285.78,547,3115,0.18,98.97%,07/10/20
